Date,Code,ID,Code.1,Code.2,CMSA,Code.3,City,Code.4,Code.5,Code.6,Months Rep,Unnamed: 12,Name,Bldgs,Units,Value,Bldgs.1,Units.1,Value.1,Bldgs.2,Units.2,Value.2,Bldgs.3,Units.3,Value.3,Bldgs.4,Units.4,Value.4,Bldgs.5,Units.5,Value.5,Bldgs.6,Units.6,Value.6,Bldgs.7,Units.7,Value.7,state_id_key,Year,Region
2000,11,1000,1,    ,8872,8840,1,20002      ,3,5,12,,Washington,187,187,21595074,4,8,489836,2,7,445365,8,604,31462367,187,187,21595074,4,8,489836,2,7,445365,8,604,31462367,11|1000,2000,south
2000,24,121000,17,    ,8872,8840, ,20646      ,3,5,12,,Charles County Unincorporated Area,1074,1074,131220683,0,0,0,0,0,0,0,0,0,1074,1074,131220683,0,0,0,0,0,0,0,0,0,24|121000,2000,south
2000,24,253000,21,0355,8872,8840,1,217015415  ,3,5,12,,Frederick,786,786,68410508,2,4,160000,0,0,0,1,12,78750,786,786,68410508,2,4,160000,0,0,0,1,12,78750,24|253000,2000,south
2000,24,257000,21,    ,8872,8840, ,21701      ,3,5,12,,Frederick County Unincorporated Area,1901,1901,235910446,0,0,0,0,0,0,3,36,1610100,1901,1901,235910446,0,0,0,0,0,0,3,36,1610100,24|257000,2000,south
2000,24,277000,31,0385,8872,8840, ,208772098  ,3,5,12,,Gaithersburg,336,336,32913730,37,74,4806459,3,12,763483,8,146,10215000,336,336,32913730,37,74,4806459,3,12,763483,8,146,10215000,24|277000,2000,south
2000,24,373000,17,0513,8872,8840, ,20640      ,3,5,12,,Indian Head town,1,1,110000,0,0,0,0,0,0,0,0,0,1,1,110000,0,0,0,0,0,0,0,0,0,24|373000,2000,south
2000,24,393000,17,0550,8872,8840, ,20646      ,3,5,12,,La Plata town,68,68,11430097,0,0,0,0,0,0,2,90,4100000,68,68,11430097,0,0,0,0,0,0,2,90,4100000,24|393000,2000,south
2000,24,401000,33,0555,8872,8840, ,20707      ,3,5,12,,Laurel,30,30,2999063,0,0,0,0,0,0,0,0,0,30,30,2999063,0,0,0,0,0,0,0,0,0,24|401000,2000,south
2000,24,457000,31,    ,8872,8840, ,208504166  ,3,5,12,,Montgomery County Unincorporated Area,2343,2343,313490214,0,0,0,5,19,1085085,37,1428,81086545,2343,2343,313490214,0,0,0,5,19,1085085,37,1428,81086545,24|457000,2000,south
2000,24,549000,33,    ,8872,8840, ,20774      ,3,5,10,,Prince George's County Unincorporated Area,3149,3149,318907141,0,0,0,0,0,0,27,277,13769507,2513,2513,260815099,0,0,0,0,0,0,25,209,10395735,24|549000,2000,south
2000,24,589000,31,0850,8872,8840, ,20850      ,3,5,12,,Rockville,252,252,42811484,0,0,0,0,0,0,15,340,18225501,252,252,42811484,0,0,0,0,0,0,15,340,18225501,24|589000,2000,south
