Date,Code,ID,Code.1,Code.2,Code.3,Code.4,  ,Code.5,Code.6,Code.7,City,Code.8,Code.9,Code.10,Months Rep,Name,Bldgs,Units,Value,Bldgs.1,Units.1,Value.1,Bldgs.2,Units.2,Value.2,Bldgs.3,Units.3,Value.3,Bldgs.4,Units.4,Value.4,Bldgs.5,Units.5,Value.5,Bldgs.6,Units.6,Value.6,Bldgs.7,Units.7,Value.7,state_id_key,Year,Region
2020,11,1000,1,    ,50000,99001,601723 ,548,47900, ,1,20002,3,5,12,Washington,139,139,32491486,47,94,11189746,1,4,523182,52,7133,842389979,139,139,32491486,47,94,11189746,1,4,523182,52,7133,842389979,11|1000,2020,south
2020,24,121000,17,    ,99990,0,133941 ,548,47900,2, ,20646,3,5,12,Charles County Unincorporated Area,623,623,199570991,0,0,0,0,0,0,0,0,0,623,623,199570991,0,0,0,0,0,0,0,0,0,24|121000,2020,south
2020,24,253000,21,0355,30325,0,65239 ,548,47900, ,1,217015415,3,5,12,Frederick,355,355,77821418,0,0,0,0,0,0,4,175,22425056,355,355,77821418,0,0,0,0,0,0,4,175,22425056,24|253000,2020,south
2020,24,257000,21,    ,99990,0,135703 ,548,47900,2, ,21701,3,5,12,Frederick County Unincorporated Area,1862,1862,480168970,1,2,110000,0,0,0,9,183,27685610,1862,1862,480168970,1,2,110000,0,0,0,9,183,27685610,24|257000,2020,south
2020,24,277000,31,0385,31175,0,59933 ,548,47900, ,1,208772098,3,5,4,Gaithersburg,43,43,4262419,4,8,680000,0,0,0,7,35,4484375,41,41,3874027,4,8,680000,0,0,0,0,0,0,24|277000,2020,south
2020,24,373000,17,0513,41500,0,3844 ,548,47900, , ,20640,3,5,12,Indian Head town,11,11,2256258,0,0,0,0,0,0,0,0,0,11,11,2256258,0,0,0,0,0,0,0,0,0,24|373000,2020,south
2020,24,393000,17,0550,45750,0,8753 ,548,47900, , ,20646,3,5,12,La Plata town,101,101,21499622,0,0,0,0,0,0,0,0,0,101,101,21499622,0,0,0,0,0,0,0,0,0,24|393000,2020,south
2020,24,401000,33,0555,45900,0,25115 ,548,47900, , ,20707,3,5,6,Laurel,22,22,6194703,1,2,243837,1,3,859014,0,0,0,5,5,1271335,0,0,0,0,0,0,0,0,0,24|401000,2020,south
2020,24,457000,31,    ,99990,0,814580 ,548,47900,2, ,208504166,3,5,11,Montgomery County Unincorporated Area,708,708,165925930,0,0,0,0,0,0,5,511,122407727,622,622,145702999,0,0,0,0,0,0,4,432,111354066,24|457000,2020,south
2020,24,549000,33,    ,99990,0,627607 ,548,47900,2, ,20774,3,5,12,Prince Georges County Unincorporated Area,2044,2044,478558352,0,0,0,0,0,0,3,650,100500000,2044,2044,478558352,0,0,0,0,0,0,3,650,100500000,24|549000,2020,south
