Date,Code,ID,Code.1,Code.2,CMSA,Code.3,City,Code.4,Code.5,Code.6,Months Rep,Unnamed: 12,Name,Bldgs,Units,Value,Bldgs.1,Units.1,Value.1,Bldgs.2,Units.2,Value.2,Bldgs.3,Units.3,Value.3,Bldgs.4,Units.4,Value.4,Bldgs.5,Units.5,Value.5,Bldgs.6,Units.6,Value.6,Bldgs.7,Units.7,Value.7,state_id_key,Year,Region
2002,11,1000,1,    ,8872,8840,1,20001      ,3,5,12,,Washington,383,383,48259362,9,18,1246251,1,4,291398,8,1186,70754769,383,383,48259362,9,18,1246251,1,4,291398,8,1186,70754769,11|1000,2002,south
2002,24,121000,17,    ,8872,8840, ,20646      ,3,5,12,,Charles County Unincorporated Area,1276,1276,183523798,0,0,0,0,0,0,1,66,3785000,1276,1276,183523798,0,0,0,0,0,0,1,66,3785000,24|121000,2002,south
2002,24,253000,21,0355,8872,8840,1,217015415  ,3,5,12,,Frederick,14,14,1116000,0,0,0,0,0,0,0,0,0,14,14,1116000,0,0,0,0,0,0,0,0,0,24|253000,2002,south
2002,24,257000,21,    ,8872,8840, ,21701      ,3,5,12,,Frederick County Unincorporated Area,1305,1305,158381823,0,0,0,0,0,0,9,226,5513400,1305,1305,158381823,0,0,0,0,0,0,9,226,5513400,24|257000,2002,south
2002,24,277000,31,0385,8872,8840, ,208772098  ,3,5,12,,Gaithersburg,414,414,48910527,11,22,1144000,0,0,0,8,87,5180290,414,414,48910527,11,22,1144000,0,0,0,8,87,5180290,24|277000,2002,south
2002,24,373000,17,0513,8872,8840, ,20640      ,3,5,12,,Indian Head town,1,1,90000,0,0,0,0,0,0,0,0,0,1,1,90000,0,0,0,0,0,0,0,0,0,24|373000,2002,south
2002,24,393000,17,0550,8872,8840, ,20646      ,3,5,12,,La Plata town,127,127,20394370,0,0,0,0,0,0,0,0,0,127,127,20394370,0,0,0,0,0,0,0,0,0,24|393000,2002,south
2002,24,401000,33,0555,8872,8840, ,20707      ,3,5,8,,Laurel,41,41,5724744,0,0,0,0,0,0,0,0,0,26,26,3992203,0,0,0,0,0,0,0,0,0,24|401000,2002,south
2002,24,457000,31,    ,8872,8840, ,208504166  ,3,5,11,,Montgomery County Unincorporated Area,1999,1999,253590150,0,0,0,0,0,0,25,1364,80994771,1770,1770,222950261,0,0,0,0,0,0,23,1233,73556160,24|457000,2002,south
2002,24,549000,33,    ,8872,8840, ,20774      ,3,5,12,,Prince George's County Unincorporated Area,2444,2444,278311428,0,0,0,0,0,0,2,78,4653349,2444,2444,278311428,0,0,0,0,0,0,2,78,4653349,24|549000,2002,south
2002,24,589000,31,0850,8872,8840, ,208502364  ,3,5,12,,Rockville,496,496,109636462,0,0,0,0,0,0,15,631,41600900,496,496,109636462,0,0,0,0,0,0,15,631,41600900,24|589000,2002,south
2002,51,1000,510,0025,8872,8840, ,22313      ,3,5,2,,Alexandria,380,380,55586788,0,0,0,0,0,0,13,864,75133464,18,18,1796000,0,0,0,0,0,0,2,111,1253490,51|1000,2002,south
2002,51,23000,600,0460,8872,8840, ,22030      ,3,5,12,,Fairfax,27,27,2640868,0,0,0,0,0,0,0,0,0,27,27,2640868,0,0,0,0,0,0,0,0,0,51|23000,2002,south
2002,51,25000,610,0470,8872,8840, ,22046      ,3,5,0,,Falls Church,2,2,374552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51|25000,2002,south
2002,51,29000,630,0505,8872,8840,1,22404      ,3,5,12,,Fredericksburg,103,103,12489622,0,0,0,0,0,0,0,0,0,103,103,12489622,0,0,0,0,0,0,0,0,0,51|29000,2002,south
2002,51,43000,683,0780,8872,8840, ,20108      ,3,5,12,,Manassas,142,142,14868818,0,0,0,0,0,0,0,0,0,142,142,14868818,0,0,0,0,0,0,0,0,0,51|43000,2002,south
2002,51,45000,685,0785,8872,8840, ,22111      ,3,5,12,,Manassas Park,65,65,8200000,0,0,0,0,0,0,5,148,6500000,65,65,8200000,0,0,0,0,0,0,5,148,6500000,51|45000,2002,south
2002,51,109000,13,    ,8872,8840,1,22201      ,3,5,12,,Arlington County,17,17,2129692,0,0,0,0,0,0,0,0,0,17,17,2129692,0,0,0,0,0,0,0,0,0,51|109000,2002,south
2002,51,205000,43,    ,8872,8840, ,22611      ,3,5,12,,Clarke County,129,129,21216183,0,0,0,0,0,0,0,0,0,129,129,21216183,0,0,0,0,0,0,0,0,0,51|205000,2002,south
2002,51,233000,47,    ,8872,8840, ,22701      ,3,5,1,,Culpeper County Unincorporated Area,375,375,55070966,0,0,0,0,0,0,0,0,0,30,30,3861402,0,0,0,0,0,0,0,0,0,51|233000,2002,south
2002,51,257000,153,0414,8872,8840, ,22026      ,3,5,12,,Dumfries town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51|257000,2002,south
2002,51,271000,59,    ,8872,8840, ,220355504  ,3,5,12,,Fairfax County Unincorporated Area,2980,2980,398296826,3,6,380346,0,0,0,48,2991,147503856,2980,2980,398296826,3,6,380346,0,0,0,48,2991,147503856,51|271000,2002,south
2002,51,277000,61,    ,8872,8840, ,20186      ,3,5,12,,Fauquier County Unincorporated Area,519,519,93015114,0,0,0,0,0,0,0,0,0,519,519,93015114,0,0,0,0,0,0,0,0,0,51|277000,2002,south
2002,51,345000,59,0615,8872,8840, ,22070      ,3,5,12,,Herndon town,2,2,385000,0,0,0,0,0,0,0,0,0,2,2,385000,0,0,0,0,0,0,0,0,0,51|345000,2002,south
2002,51,403000,107,    ,8872,8840, ,20177      ,3,5,12,,Loudoun County,4659,4659,597125935,0,0,0,0,0,0,75,1449,72786573,4659,4659,597125935,0,0,0,0,0,0,75,1449,72786573,51|403000,2002,south
2002,51,513000,153,    ,8872,8840, ,22192      ,3,5,12,,Prince William County Unincorporated Area,4980,4980,529154826,2,4,200000,2,6,288000,58,1006,42743945,4980,4980,529154826,2,4,200000,2,6,288000,58,1006,42743945,51|513000,2002,south
2002,51,523000,157,    ,9999,9999, ,22747      ,3,5,12,,Rappahannock County,61,61,11801126,0,0,0,0,0,0,0,0,0,61,61,11801126,0,0,0,0,0,0,0,0,0,51|523000,2002,south
2002,51,575000,177,    ,8872,8840, ,22553      ,3,5,12,,Spotsylvania County,1651,1651,278585563,0,0,0,0,0,0,0,0,0,1651,1651,278585563,0,0,0,0,0,0,0,0,0,51|575000,2002,south
2002,51,583000,179,    ,8872,8840, ,22554      ,3,5,12,,Stafford County,1692,1692,272263260,72,144,11322000,0,0,0,32,242,8337000,1692,1692,272263260,72,144,11322000,0,0,0,32,242,8337000,51|583000,2002,south
2002,51,635000,187,    ,8872,8840, ,22630      ,3,5,12,,Warren County,331,331,49116310,0,0,0,0,0,0,0,0,0,331,331,49116310,0,0,0,0,0,0,0,0,0,51|635000,2002,south
2002,51,637000,61,1295,8872,8840, ,201880341  ,3,5,12,,Warrenton town,188,188,32049500,0,0,0,0,0,0,0,0,0,188,188,32049500,0,0,0,0,0,0,0,0,0,51|637000,2002,south
2002,54,55000,37,0165,8872,8840, ,25425      ,3,5,12,,Bolivar town,4,4,313747,0,0,0,0,0,0,0,0,0,4,4,313747,0,0,0,0,0,0,0,0,0,54|55000,2002,south
2002,54,99000,37,0285,8872,8840, ,25414      ,3,5,11,,Charles Town,34,34,4492329,0,0,0,0,0,0,0,0,0,30,30,3923208,0,0,0,0,0,0,0,0,0,54|99000,2002,south
2002,54,117000,37,0350,8872,8840, ,25438      ,3,5,12,,Corporation of Ranson town,99,99,10280115,1,2,115000,0,0,0,0,0,0,99,99,10280115,1,2,115000,0,0,0,0,0,0,54|117000,2002,south
2002,54,213000,37,0680,8872,8840, ,25425      ,3,5,12,,Harpers Ferry town,1,1,80000,0,0,0,0,0,0,0,0,0,1,1,80000,0,0,0,0,0,0,0,0,0,54|213000,2002,south
2002,54,247000,37,    ,8872,8840, ,25414      ,3,5,12,,Jefferson County Unincorporated Area,536,536,104310644,0,0,0,0,0,0,0,0,0,536,536,104310644,0,0,0,0,0,0,0,0,0,54|247000,2002,south
2002,54,473000,37,1445,8872,8840, ,254430248  ,3,5,12,,Shepherdstown town,0,0,0,1,2,150000,0,0,0,0,0,0,0,0,0,1,2,150000,0,0,0,0,0,0,54|473000,2002,south
2002,25,1000,23,    ,1122,1200, ,02351      ,1,1,12,,Abington town,137,137,17293185,0,0,0,0,0,0,8,192,13069808,137,137,17293185,0,0,0,0,0,0,8,192,13069808,25|1000,2002,northeast
2002,25,3000,17,    ,1122,1120, ,01720      ,1,1,12,,Acton town,42,42,7055300,0,0,0,0,0,0,0,0,0,42,42,7055300,0,0,0,0,0,0,0,0,0,25|3000,2002,northeast
2002,25,13000,9,    ,1122,1120, ,01913      ,1,1,11,,Amesbury town,36,36,5070920,0,0,0,0,0,0,0,0,0,33,33,4867278,0,0,0,0,0,0,0,0,0,25|13000,2002,northeast
2002,25,17000,9,    ,1122,4160, ,01810      ,1,1,4,,Andover town,44,44,17358426,0,0,0,2,6,973218,4,20,1289976,15,15,9521200,0,0,0,0,0,24000,1,5,998475,25|17000,2002,northeast
2002,25,19000,17,    ,1122,1120, ,02174      ,1,1,12,,Arlington town,20,20,3380000,6,12,1225000,0,0,0,2,12,840000,20,20,3380000,6,12,1225000,0,0,0,2,12,840000,25|19000,2002,northeast
2002,25,23000,17,    ,1122,2600, ,014310155  ,1,1,0,,Ashby town,14,14,1257525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25|23000,2002,northeast
2002,25,27000,17,    ,1122,1120, ,01721      ,1,1,12,,Ashland town,73,73,13215847,0,0,0,0,0,0,0,0,0,73,73,13215847,0,0,0,0,0,0,0,0,0,25|27000,2002,northeast
2002,25,35000,21,    ,1122,1200, ,02322      ,1,1,12,,Avon town,3,3,465200,0,0,0,0,0,0,0,0,0,3,3,465200,0,0,0,0,0,0,0,0,0,25|35000,2002,northeast
2002,25,37000,17,    ,1122,1120, ,01432      ,1,1,12,,Ayer town,2,2,335000,0,0,0,0,0,0,0,0,0,2,2,335000,0,0,0,0,0,0,0,0,0,25|37000,2002,northeast
2002,25,47000,17,    ,1122,1120, ,01730      ,1,1,12,,Bedford town,26,26,8094334,1,2,268197,0,0,0,0,0,0,26,26,8094334,1,2,268197,0,0,0,0,0,0,25|47000,2002,northeast
2002,25,51000,21,    ,1122,1120, ,02019      ,1,1,12,,Bellingham town,61,61,9332371,0,0,0,6,23,3322500,0,0,0,61,61,9332371,0,0,0,6,23,3322500,0,0,0,25|51000,2002,northeast
2002,25,53000,17,    ,1122,1120, ,02178      ,1,1,12,,Belmont town,2,2,1655000,1,2,112000,0,0,0,0,0,0,2,2,1655000,1,2,112000,0,0,0,0,0,0,25|53000,2002,northeast
2002,25,63000,9,0390,1122,1120, ,01915      ,1,1,0,,Beverly,53,53,11488863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25|63000,2002,northeast
2002,25,65000,17,    ,1122,4560, ,01821      ,1,1,12,,Billerica town,66,66,7156305,1,2,198500,6,24,1982840,0,0,0,66,66,7156305,1,2,198500,6,24,1982840,0,0,0,25|65000,2002,northeast
2002,25,73000,25,0440,1122,1120,1,02118      ,1,1,12,,Boston,71,71,10276368,40,80,6403726,21,65,4906733,14,556,37790534,71,71,10276368,40,80,6403726,21,65,4906733,14,556,37790534,25|73000,2002,northeast
2002,25,77000,17,    ,1122,1120, ,01719      ,1,1,12,,Boxborough town,43,43,8438900,0,0,0,0,0,0,0,0,0,43,43,8438900,0,0,0,0,0,0,0,0,0,25|77000,2002,northeast
2002,25,79000,9,    ,1122,4160, ,01921      ,1,1,12,,Boxford town,16,16,5570655,0,0,0,0,0,0,0,0,0,16,16,5570655,0,0,0,0,0,0,0,0,0,25|79000,2002,northeast
2002,25,83000,21,    ,1122,1120, ,02184      ,1,1,12,,Braintree town,22,22,4500000,0,0,0,1,3,250000,0,0,0,22,22,4500000,0,0,0,1,3,250000,0,0,0,25|83000,2002,northeast
2002,25,87000,23,    ,1122,1200, ,02324      ,1,1,12,,Bridgewater town,64,64,12711299,2,4,350000,0,0,0,0,0,0,64,64,12711299,2,4,350000,0,0,0,0,0,0,25|87000,2002,northeast
2002,25,93000,23,0540,1122,1200,1,02401      ,1,1,12,,Brockton,53,53,5829628,1,2,141013,0,0,0,0,0,0,53,53,5829628,1,2,141013,0,0,0,0,0,0,25|93000,2002,northeast
2002,25,97000,21,    ,1122,1120, ,02146      ,1,1,12,,Brookline town,12,12,3055000,0,0,0,0,0,0,1,23,4788000,12,12,3055000,0,0,0,0,0,0,1,23,4788000,25|97000,2002,northeast
2002,25,101000,17,    ,1122,1120, ,01803      ,1,1,12,,Burlington town,27,27,4330000,0,0,0,0,0,0,0,0,0,27,27,4330000,0,0,0,0,0,0,0,0,0,25|101000,2002,northeast
2002,25,103000,17,0610,1122,1120,1,02139      ,1,1,12,,Cambridge,45,45,6097920,0,0,0,0,0,0,0,0,0,45,45,6097920,0,0,0,0,0,0,0,0,0,25|103000,2002,northeast
2002,25,105000,21,    ,1122,1120, ,02021      ,1,1,12,,Canton town,21,21,3097523,1,2,166256,0,0,0,6,70,4943750,21,21,3097523,1,2,166256,0,0,0,6,70,4943750,25|105000,2002,northeast
2002,25,107000,17,    ,1122,1120, ,01741      ,1,1,12,,Carlisle town,16,16,9756885,0,0,0,0,0,0,0,0,0,16,16,9756885,0,0,0,0,0,0,0,0,0,25|107000,2002,northeast
2002,25,109000,23,    ,1122,1120, ,02330      ,1,1,11,,Carver town,34,34,4639277,0,0,0,0,0,0,0,0,0,32,32,4368000,0,0,0,0,0,0,0,0,0,25|109000,2002,northeast
2002,25,117000,17,    ,1122,4560, ,01824      ,1,1,12,,Chelmsford town,26,26,5740000,0,0,0,0,0,0,3,144,9656235,26,26,5740000,0,0,0,0,0,0,3,144,9656235,25|117000,2002,northeast
2002,25,119000,25,0700,1122,1120, ,02150      ,1,1,12,,Chelsea,1,1,105000,0,0,20000,0,0,0,0,0,0,1,1,105000,0,0,20000,0,0,0,0,0,0,25|119000,2002,northeast
2002,25,135000,21,    ,1122,1120, ,02025      ,1,1,12,,Cohasset town,17,17,5353000,0,0,0,0,0,0,0,0,0,17,17,5353000,0,0,0,0,0,0,0,0,0,25|135000,2002,northeast
2002,25,139000,17,    ,1122,1120, ,01742      ,1,1,12,,Concord town,29,29,12235477,0,0,0,0,0,0,0,0,0,29,29,12235477,0,0,0,0,0,0,0,0,0,25|139000,2002,northeast
2002,25,147000,9,    ,1122,1120, ,01923      ,1,1,12,,Danvers town,80,80,12532259,0,0,0,0,0,0,0,0,0,80,80,12532259,0,0,0,0,0,0,0,0,0,25|147000,2002,northeast
2002,25,151000,21,    ,1122,1120, ,02026      ,1,1,12,,Dedham town,19,19,3921315,0,0,0,0,0,0,0,0,0,19,19,3921315,0,0,0,0,0,0,0,0,0,25|151000,2002,northeast
2002,25,161000,21,    ,1122,1120, ,02030      ,1,1,11,,Dover town,18,18,10580163,0,0,0,0,0,0,0,0,0,16,16,8951000,0,0,0,0,0,0,0,0,0,25|161000,2002,northeast
2002,25,163000,17,    ,1122,4560, ,01826      ,1,1,12,,Dracut town,53,53,9260000,0,0,0,4,12,880000,0,0,0,53,53,9260000,0,0,0,4,12,880000,0,0,0,25|163000,2002,northeast
2002,25,169000,17,    ,1122,4560, ,01827      ,1,1,0,,Dunstable town,27,27,3099801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25|169000,2002,northeast
2002,25,171000,23,    ,1122,1120, ,02332      ,1,1,12,,Duxbury town,40,40,9771600,5,10,1449700,1,3,336000,0,0,0,40,40,9771600,5,10,1449700,1,3,336000,0,0,0,25|171000,2002,northeast
2002,25,173000,23,    ,1122,1200, ,02333      ,1,1,12,,East Bridgewater town,76,76,11949400,0,0,0,0,0,0,0,0,0,76,76,11949400,0,0,0,0,0,0,0,0,0,25|173000,2002,northeast
2002,25,193000,9,    ,1122,1120, ,01929      ,1,1,12,,Essex town,12,12,5065544,0,0,0,0,0,0,0,0,0,12,12,5065544,0,0,0,0,0,0,0,0,0,25|193000,2002,northeast
2002,25,195000,17,1200,1122,1120, ,02149      ,1,1,12,,Everett,15,15,1633000,9,18,931700,0,0,0,0,0,0,15,15,1633000,9,18,931700,0,0,0,0,0,0,25|195000,2002,northeast
2002,25,207000,21,    ,1122,1120, ,02035      ,1,1,12,,Foxborough town,33,33,6650435,0,0,0,0,0,0,1,6,345000,33,33,6650435,0,0,0,0,0,0,1,6,345000,25|207000,2002,northeast
2002,25,209000,17,    ,1122,1120, ,01702      ,1,1,12,,Framingham town,35,35,6580831,0,0,0,0,0,0,0,0,0,35,35,6580831,0,0,0,0,0,0,0,0,0,25|209000,2002,northeast
2002,25,213000,21,1350,1122,1120, ,02038      ,1,1,12,,Franklin,61,61,15424484,0,0,0,0,0,0,7,96,7374825,61,61,15424484,0,0,0,0,0,0,7,96,7374825,25|213000,2002,northeast
2002,25,221000,9,    ,1122,4160, ,01833      ,1,1,9,,Georgetown town,32,32,6752105,0,0,0,1,3,428572,2,10,1428570,25,25,5325000,0,0,0,0,0,0,0,0,0,25|221000,2002,northeast
2002,25,225000,9,1430,1122,1120,1,01930      ,1,1,5,,Gloucester,53,53,10872516,12,24,2558933,1,3,300000,0,0,0,22,22,6731000,3,6,825000,0,0,0,0,0,0,25|225000,2002,northeast
2002,25,241000,17,    ,1122,4560, ,01450      ,1,1,0,,Groton town,73,73,16658008,0,0,0,0,0,0,5,25,3485000,0,0,0,0,0,0,0,0,0,0,0,0,25|241000,2002,northeast
2002,25,243000,9,    ,1122,4160, ,01834      ,1,1,12,,Groveland town,18,18,3416000,1,2,341000,0,0,0,4,28,2355000,18,18,3416000,1,2,341000,0,0,0,4,28,2355000,25|243000,2002,northeast
2002,25,247000,23,    ,1122,1200, ,02338      ,1,1,12,,Halifax town,31,31,4888350,0,0,0,0,0,0,0,0,0,31,31,4888350,0,0,0,0,0,0,0,0,0,25|247000,2002,northeast
2002,25,249000,9,    ,1122,1120, ,01936      ,1,1,12,,Hamilton town,11,11,3314722,0,0,0,0,0,0,0,0,0,11,11,3314722,0,0,0,0,0,0,0,0,0,25|249000,2002,northeast
2002,25,259000,23,    ,1122,1120, ,02339      ,1,1,12,,Hanover town,51,51,17134300,0,0,0,0,0,0,0,0,0,51,51,17134300,0,0,0,0,0,0,0,0,0,25|259000,2002,northeast
2002,25,261000,23,    ,1122,1200, ,02341      ,1,1,11,,Hanson town,24,24,3423033,0,0,0,0,0,0,0,0,0,21,21,3030410,0,0,0,0,0,0,0,0,0,25|261000,2002,northeast
2002,25,271000,9,1710,1122,4160, ,01830      ,1,1,12,,Haverhill,112,112,16333000,13,26,1720000,3,12,1226000,9,180,11144083,112,112,16333000,13,26,1720000,3,12,1226000,9,180,11144083,25|271000,2002,northeast
2002,25,277000,23,    ,1122,1120, ,020432759  ,1,1,12,,Hingham town,39,39,12612734,1,2,400000,7,25,2380000,2,10,620000,39,39,12612734,1,2,400000,7,25,2380000,2,10,620000,25|277000,2002,northeast
2002,25,281000,21,    ,1122,1120, ,02343      ,1,1,12,,Holbrook town,28,28,4992583,0,0,0,0,0,0,0,0,0,28,28,4992583,0,0,0,0,0,0,0,0,0,25|281000,2002,northeast
2002,25,287000,17,    ,1122,1120, ,01746      ,1,1,12,,Holliston town,31,31,6515648,0,0,0,0,0,0,0,0,0,31,31,6515648,0,0,0,0,0,0,0,0,0,25|287000,2002,northeast
2002,25,293000,17,    ,1122,1120, ,01748      ,1,1,12,,Hopkinton town,65,65,14804280,0,0,0,0,0,0,0,0,0,65,65,14804280,0,0,0,0,0,0,0,0,0,25|293000,2002,northeast
2002,25,297000,17,    ,1122,1120, ,01749      ,1,1,0,,Hudson town,57,57,5187456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25|297000,2002,northeast
2002,25,299000,23,    ,1122,1120, ,02045      ,1,1,9,,Hull town,10,10,1615349,1,2,22000,0,0,0,0,0,0,5,5,883754,0,0,0,0,0,0,0,0,0,25|299000,2002,northeast
2002,25,303000,9,    ,1122,1120, ,01938      ,1,1,12,,Ipswich town,43,43,8541305,0,0,0,1,4,350000,0,0,0,43,43,8541305,0,0,0,1,4,350000,0,0,0,25|303000,2002,northeast
2002,25,305000,23,    ,1122,1120, ,02364      ,1,1,12,,Kingston town,47,47,9150590,0,0,0,0,0,0,0,0,0,47,47,9150590,0,0,0,0,0,0,0,0,0,25|305000,2002,northeast
2002,25,307000,23,    ,1122,1200, ,02347      ,1,1,12,,Lakeville town,62,62,12437191,0,0,0,0,0,0,0,0,0,62,62,12437191,0,0,0,0,0,0,0,0,0,25|307000,2002,northeast
2002,25,313000,9,2030,1122,4160,1,01840      ,1,1,12,,Lawrence,15,15,1517140,13,26,1638880,0,0,0,1,6,396000,15,15,1517140,13,26,1638880,0,0,0,1,6,396000,25|313000,2002,northeast
2002,25,325000,17,    ,1122,1120, ,02173      ,1,1,12,,Lexington town,72,72,21405700,0,0,0,0,0,0,0,0,0,72,72,21405700,0,0,0,0,0,0,0,0,0,25|325000,2002,northeast
2002,25,329000,17,    ,1122,1120, ,01773      ,1,1,12,,Lincoln town,3,3,2750900,0,0,0,0,0,0,0,0,0,3,3,2750900,0,0,0,0,0,0,0,0,0,25|329000,2002,northeast
2002,25,331000,17,    ,1122,1120, ,01460      ,1,1,12,,Littleton town,53,53,9976131,0,0,0,0,0,0,0,0,0,53,53,9976131,0,0,0,0,0,0,0,0,0,25|331000,2002,northeast
2002,25,335000,17,2180,1122,4560,1,01852      ,1,1,12,,Lowell,35,35,2994520,13,26,1769300,8,27,2030000,0,0,0,35,35,2994520,13,26,1769300,8,27,2030000,0,0,0,25|335000,2002,northeast
2002,25,341000,9,2210,1122,1120,1,01901      ,1,1,12,,Lynn,73,73,8754630,8,16,1826629,2,6,786000,0,0,0,73,73,8754630,8,16,1826629,2,6,786000,0,0,0,25|341000,2002,northeast
2002,25,343000,9,    ,1122,1120, ,01940      ,1,1,12,,Lynnfield town,18,18,4977000,0,0,0,0,0,0,0,0,0,18,18,4977000,0,0,0,0,0,0,0,0,0,25|343000,2002,northeast
2002,25,345000,17,2230,1122,1120, ,02148      ,1,1,6,,Malden,25,25,2346130,3,6,234900,0,0,0,1,5,304545,15,15,1523500,0,0,0,0,0,0,0,0,0,25|345000,2002,northeast
2002,25,347000,9,    ,1122,1120, ,01944      ,1,1,12,,Manchester By the Sea town,7,7,2648000,0,0,0,0,0,0,1,21,1075000,7,7,2648000,0,0,0,0,0,0,1,21,1075000,25|347000,2002,northeast
2002,25,351000,9,    ,1122,1120, ,01945      ,1,1,12,,Marblehead town,14,14,4199950,0,0,0,0,0,0,0,0,0,14,14,4199950,0,0,0,0,0,0,0,0,0,25|351000,2002,northeast
2002,25,353000,23,    ,1122,5400, ,02738      ,1,1,11,,Marion town,16,16,2820153,0,0,0,0,0,0,0,0,0,14,14,2350000,0,0,0,0,0,0,0,0,0,25|353000,2002,northeast
2002,25,355000,17,2305,1122,1120, ,01752      ,1,1,12,,Marlborough,38,38,4969225,0,0,0,0,0,0,0,0,0,38,38,4969225,0,0,0,0,0,0,0,0,0,25|355000,2002,northeast
2002,25,357000,23,    ,1122,1120, ,02050      ,1,1,12,,Marshfield town,35,35,7024440,0,0,0,0,0,0,0,0,0,35,35,7024440,0,0,0,0,0,0,0,0,0,25|357000,2002,northeast
2002,25,361000,23,    ,1122,5400, ,02739      ,1,1,12,,Mattapoisett town,50,50,8141168,0,0,0,0,0,0,0,0,0,50,50,8141168,0,0,0,0,0,0,0,0,0,25|361000,2002,northeast
2002,25,363000,17,    ,1122,1120, ,01754      ,1,1,12,,Maynard town,3,3,850000,0,0,0,0,0,0,0,0,0,3,3,850000,0,0,0,0,0,0,0,0,0,25|363000,2002,northeast
2002,25,365000,21,    ,1122,1120, ,02052      ,1,1,12,,Medfield town,18,18,7808000,0,0,0,0,0,0,0,0,0,18,18,7808000,0,0,0,0,0,0,0,0,0,25|365000,2002,northeast
2002,25,367000,17,2400,1122,1120, ,02155      ,1,1,0,,Medford,7,7,520331,2,4,280000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25|367000,2002,northeast
2002,25,369000,21,    ,1122,1120, ,02053      ,1,1,12,,Medway town,38,38,7540135,0,0,0,0,0,0,0,0,0,38,38,7540135,0,0,0,0,0,0,0,0,0,25|369000,2002,northeast
2002,25,371000,17,2430,1122,1120, ,02176      ,1,1,12,,Melrose,8,8,1279000,0,0,0,0,0,0,1,5,461000,8,8,1279000,0,0,0,0,0,0,1,5,461000,25|371000,2002,northeast
2002,25,375000,9,    ,1122,4160, ,01860      ,1,1,12,,Merrimac town,17,17,6825000,0,0,0,0,0,0,0,0,0,17,17,6825000,0,0,0,0,0,0,0,0,0,25|375000,2002,northeast
2002,25,377000,9,2480,1122,4160, ,01844      ,1,1,0,,Methuen,114,114,13306030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25|377000,2002,northeast
2002,25,379000,23,    ,1122,1200, ,023462252  ,1,1,12,,Middleborough town,105,105,13508900,2,4,280000,0,0,0,0,0,0,105,105,13508900,2,4,280000,0,0,0,0,0,0,25|379000,2002,northeast
2002,25,385000,9,    ,1122,1120, ,01949      ,1,1,12,,Middleton town,64,64,12442787,0,0,0,4,16,1648548,0,0,0,64,64,12442787,0,0,0,4,16,1648548,0,0,0,25|385000,2002,northeast
2002,25,391000,21,    ,1122,1120, ,02054      ,1,1,12,,Millis town,26,26,5190000,0,0,0,0,0,0,0,0,0,26,26,5190000,0,0,0,0,0,0,0,0,0,25|391000,2002,northeast
2002,25,395000,21,    ,1122,1120, ,02186      ,1,1,12,,Milton town,14,14,3753244,0,0,0,0,0,0,0,0,0,14,14,3753244,0,0,0,0,0,0,0,0,0,25|395000,2002,northeast
2002,25,409000,9,    ,1122,1120, ,01908      ,1,1,12,,Nahant town,1,1,200000,0,0,0,0,0,0,0,0,0,1,1,200000,0,0,0,0,0,0,0,0,0,25|409000,2002,northeast
