Date,Code,ID,Code.1,Code.2,Code.3,Code.4,  ,Code.5,Code.6,Code.7,City,Code.8,Code.9,Code.10,Months Rep,Name,Bldgs,Units,Value,Bldgs.1,Units.1,Value.1,Bldgs.2,Units.2,Value.2,Bldgs.3,Units.3,Value.3,Bldgs.4,Units.4,Value.4,Bldgs.5,Units.5,Value.5,Bldgs.6,Units.6,Value.6,Bldgs.7,Units.7,Value.7,state_id_key,Year,Region
2012,11,1000,1,    ,50000 ,99001 ,572059 ,548,47900, ,1,20002,3,5,12,Washington,271,271,48821566,34,68,6884494,0,0,0,19,3484,415822116,271,271,48821566,34,68,6884494,0,0,0,19,3484,415822116,11|1000,2012,south
2012,24,121000,17,    ,99990 ,00000 ,110558 ,548,47900,2, ,20646,3,5,12,Charles County Unincorporated Area,643,643,139398327,0,0,0,0,0,0,0,0,0,643,643,139398327,0,0,0,0,0,0,0,0,0,24|121000,2012,south
2012,24,253000,21,0355,30325 ,00000 ,52767 ,548,47900, ,1,217015415,3,5,12,Frederick,207,207,30444163,0,0,0,0,0,0,5,94,6780819,207,207,30444163,0,0,0,0,0,0,5,94,6780819,24|253000,2012,south
2012,24,257000,21,    ,99990 ,00000 ,115334 ,548,47900,2, ,21701,3,5,12,Frederick County Unincorporated Area,523,523,120775088,0,0,0,0,0,0,8,180,11428069,523,523,120775088,0,0,0,0,0,0,8,180,11428069,24|257000,2012,south
2012,24,277000,31,0385,31175 ,00000 ,52613 ,548,47900, ,1,208772098,3,5,12,Gaithersburg,85,85,16462050,93,186,12900868,0,0,0,3,737,69745375,85,85,16462050,93,186,12900868,0,0,0,3,737,69745375,24|277000,2012,south
2012,24,373000,17,0513,41500 ,00000 ,3422 ,548,47900, , ,20640,3,5,12,Indian Head town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24|373000,2012,south
2012,24,393000,17,0550,45750 ,00000 ,6551 ,548,47900, , ,20646,3,5,12,La Plata town,28,28,3223206,0,0,0,0,0,0,0,0,0,28,28,3223206,0,0,0,0,0,0,0,0,0,24|393000,2012,south
2012,24,401000,33,0555,45900 ,00000 ,19960 ,548,47900, , ,20707,3,5,12,Laurel,20,20,5508779,0,0,0,0,0,0,0,0,0,20,20,5508779,0,0,0,0,0,0,0,0,0,24|401000,2012,south
2012,24,457000,31,    ,99990 ,00000 ,737275 ,548,47900,2, ,208504166,3,5,12,Montgomery County Unincorporated Area,1069,1069,217273785,0,0,0,1,4,83500,36,1604,147827460,1069,1069,217273785,0,0,0,1,4,83500,36,1604,147827460,24|457000,2012,south
2012,24,549000,33,    ,99990 ,00000 ,587720 ,548,47900,2, ,20774,3,5,12,Prince Georges County Unincorporated Area,858,858,166718423,0,0,0,0,0,0,3,75,15546957,858,858,166718423,0,0,0,0,0,0,3,75,15546957,24|549000,2012,south
2012,24,589000,31,0850,67675 ,00000 ,47388 ,548,47900, ,1,208502364,3,5,12,Rockville,20,20,4524000,0,0,0,0,0,0,2,276,35000000,20,20,4524000,0,0,0,0,0,0,2,276,35000000,24|589000,2012,south
2012,51,1000,510,0025,01000 ,00000 ,128283 ,548,47900, ,1,22313,3,5,11,Alexandria,151,151,28317724,0,0,0,0,0,0,2,221,29707081,139,139,25547307,0,0,0,0,0,0,1,127,15564750,51|1000,2012,south
2012,51,23000,600,0460,26496 ,00000 ,21498 ,548,47900, , ,22030,3,5,12,Fairfax,59,59,7791080,0,0,0,0,0,0,0,0,0,59,59,7791080,0,0,0,0,0,0,0,0,0,51|23000,2012,south
2012,51,25000,610,0470,27200 ,00000 ,10377 ,548,47900, , ,22046,3,5,12,Falls Church,16,16,6012000,0,0,0,0,0,0,0,0,0,16,16,6012000,0,0,0,0,0,0,0,0,0,51|25000,2012,south
2012,51,29000,630,0505,29744 ,00000 ,19279 ,548,47900, , ,22404,3,5,12,Fredericksburg,87,87,20268060,0,0,0,0,0,0,10,251,10526250,87,87,20268060,0,0,0,0,0,0,10,251,10526250,51|29000,2012,south
2012,51,43000,683,0780,48952 ,00000 ,35135 ,548,47900, , ,20108,3,5,0,Manassas,91,91,12477588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51|43000,2012,south
2012,51,45000,685,0785,48968 ,00000 ,10290 ,548,47900, , ,22111,3,5,12,Manassas Park,13,13,3250000,0,0,0,0,0,0,0,0,0,13,13,3250000,0,0,0,0,0,0,0,0,0,51|45000,2012,south
2012,51,109000,13,    ,99990 ,00000 , ,548,47900, ,1,22201,3,5,12,Arlington County,156,156,51251782,1,2,300000,0,0,0,8,2049,103264071,156,156,51251782,1,2,300000,0,0,0,8,2049,103264071,51|109000,2012,south
2012,51,205000,43,    ,99990 ,00000 , ,548,47900, , ,22611,3,5,12,Clarke County,20,20,4652000,0,0,0,0,0,0,0,0,0,20,20,4652000,0,0,0,0,0,0,0,0,0,51|205000,2012,south
2012,51,233000,47,    ,99990 ,00000 ,24598 ,999,99999, , ,22701,3,5,10,Culpeper County,147,147,34213675,0,0,0,0,0,0,0,0,0,126,126,29633946,0,0,0,0,0,0,0,0,0,51|233000,2012,south
2012,51,257000,153,2190,23760 ,00000 ,4937 ,548,47900, , ,22026,3,5,12,Dumfries town,6,6,840000,0,0,0,0,0,0,0,0,0,6,6,840000,0,0,0,0,0,0,0,0,0,51|257000,2012,south
2012,51,271000,59,    ,99990 ,00000 ,933456 ,548,47900,2, ,220355504,3,5,12,Fairfax County Unincorporated Area,706,706,139279842,1,2,325000,0,0,0,9,726,52086184,706,706,139279842,1,2,325000,0,0,0,9,726,52086184,51|271000,2012,south
2012,51,277000,61,    ,99990 ,00000 ,47579 ,548,47900,2, ,20186,3,5,12,Fauquier County Unincorporated Area,153,153,35375794,0,0,0,0,0,0,0,0,0,153,153,35375794,0,0,0,0,0,0,0,0,0,51|277000,2012,south
2012,51,345000,59,0615,36648 ,00000 ,21655 ,548,47900, , ,22070,3,5,12,Herndon town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51|345000,2012,south
2012,51,403000,107,    ,99990 ,00000 , ,548,47900, , ,20177,3,5,12,Loudoun County,2980,2980,555286789,9,18,4150000,0,0,0,36,817,60698190,2980,2980,555286789,9,18,4150000,0,0,0,36,817,60698190,51|403000,2012,south
