Date,Code,ID,Code.1,Code.2,Code.3,Code.4,  ,Code.5,Code.6,Code.7,City,Code.8,Code.9,Code.10,Months Rep,Name,Bldgs,Units,Value,Bldgs.1,Units.1,Value.1,Bldgs.2,Units.2,Value.2,Bldgs.3,Units.3,Value.3,Bldgs.4,Units.4,Value.4,Bldgs.5,Units.5,Value.5,Bldgs.6,Units.6,Value.6,Bldgs.7,Units.7,Value.7,state_id_key,Year,Region
2014,11,1000,1,    ,50000 ,99001 ,601723 ,548,47900, ,1,20002,3,5,12,Washington,288,288,60903865,15,30,3141495,7,26,2653000,31,3845,307698466,288,288,60903865,15,30,3141495,7,26,2653000,31,3845,307698466,11|1000,2014,south
2014,24,121000,17,    ,99990 ,00000 ,133941 ,548,47900,2, ,20646,3,5,12,Charles County Unincorporated Area,730,730,178216575,0,0,0,0,0,0,0,0,0,730,730,178216575,0,0,0,0,0,0,0,0,0,24|121000,2014,south
2014,24,253000,21,0355,30325 ,00000 ,65239 ,548,47900, ,1,217015415,3,5,12,Frederick,198,198,37683900,0,0,0,0,0,0,18,474,34562653,198,198,37683900,0,0,0,0,0,0,18,474,34562653,24|253000,2014,south
2014,24,257000,21,    ,99990 ,00000 ,135703 ,548,47900,2, ,21701,3,5,12,Frederick County Unincorporated Area,609,609,123606536,0,0,0,0,0,46500,2,30,3275000,609,609,123606536,0,0,0,0,0,46500,2,30,3275000,24|257000,2014,south
2014,24,277000,31,0385,31175 ,00000 ,59933 ,548,47900, ,1,208772098,3,5,12,Gaithersburg,149,149,19132416,49,98,8109000,0,0,0,0,0,0,149,149,19132416,49,98,8109000,0,0,0,0,0,0,24|277000,2014,south
2014,24,373000,17,0513,41500 ,00000 ,3844 ,548,47900, , ,20640,3,5,12,Indian Head town,1,1,80000,0,0,0,0,0,0,0,0,0,1,1,80000,0,0,0,0,0,0,0,0,0,24|373000,2014,south
2014,24,393000,17,0550,45750 ,00000 ,8753 ,548,47900, , ,20646,3,5,12,La Plata town,59,59,10870000,0,0,0,0,0,0,0,0,0,59,59,10870000,0,0,0,0,0,0,0,0,0,24|393000,2014,south
2014,24,401000,33,0555,45900 ,00000 ,25115 ,548,47900, , ,20707,3,5,12,Laurel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24|401000,2014,south
2014,24,457000,31,    ,99990 ,00000 ,814580 ,548,47900,2, ,208504166,3,5,12,Montgomery County Unincorporated Area,1275,1275,273470070,0,0,0,0,0,0,26,1739,228657233,1275,1275,273470070,0,0,0,0,0,0,26,1739,228657233,24|457000,2014,south
2014,24,549000,33,    ,99990 ,00000 ,627607 ,548,47900,2, ,20774,3,5,12,Prince Georges County Unincorporated Area,1292,1292,275089563,0,0,0,0,0,0,0,0,0,1292,1292,275089563,0,0,0,0,0,0,0,0,0,24|549000,2014,south
