Date,Code,ID,Code.1,Code.2,Code.3,Code.4,  ,Code.5,Code.6,Code.7,City,Code.8,Code.9,Code.10,Months Rep,Name,Bldgs,Units,Value,Bldgs.1,Units.1,Value.1,Bldgs.2,Units.2,Value.2,Bldgs.3,Units.3,Value.3,Bldgs.4,Units.4,Value.4,Bldgs.5,Units.5,Value.5,Bldgs.6,Units.6,Value.6,Bldgs.7,Units.7,Value.7,state_id_key,Year,Region
2013,11,1000,1,    ,50000 ,99001 ,601723 ,548,47900, ,1,20002,3,5,12,Washington,333,333,66917427,38,76,6689751,9,36,3054002,37,2810,203226936,333,333,66917427,38,76,6689751,9,36,3054002,37,2810,203226936,11|1000,2013,south
2013,24,121000,17,    ,99990 ,00000 ,133941 ,548,47900,2, ,20646,3,5,12,Charles County Unincorporated Area,706,706,167280115,0,0,0,0,0,0,13,649,44942040,706,706,167280115,0,0,0,0,0,0,13,649,44942040,24|121000,2013,south
2013,24,253000,21,0355,30325 ,00000 ,65239 ,548,47900, ,1,217015415,3,5,12,Frederick,236,236,49936959,0,0,0,0,0,0,18,498,24330499,236,236,49936959,0,0,0,0,0,0,18,498,24330499,24|253000,2013,south
2013,24,257000,21,    ,99990 ,00000 ,135703 ,548,47900,2, ,21701,3,5,12,Frederick County Unincorporated Area,486,486,105766292,0,0,0,0,0,0,0,0,0,486,486,105766292,0,0,0,0,0,0,0,0,0,24|257000,2013,south
2013,24,277000,31,0385,31175 ,00000 ,59933 ,548,47900, ,1,208772098,3,5,11,Gaithersburg,178,178,29209712,23,46,3290013,0,0,0,1,78,7381464,168,168,27273000,14,28,2041542,0,0,0,0,0,0,24|277000,2013,south
2013,24,373000,17,0513,41500 ,00000 ,3844 ,548,47900, , ,20640,3,5,12,Indian Head town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24|373000,2013,south
2013,24,393000,17,0550,45750 ,00000 ,8753 ,548,47900, , ,20646,3,5,12,La Plata town,36,36,4264341,0,0,0,0,0,0,0,0,0,36,36,4264341,0,0,0,0,0,0,0,0,0,24|393000,2013,south
2013,24,401000,33,0555,45900 ,00000 ,25115 ,548,47900, , ,20707,3,5,12,Laurel,21,21,7657462,0,0,0,0,0,0,0,0,0,21,21,7657462,0,0,0,0,0,0,0,0,0,24|401000,2013,south
2013,24,457000,31,    ,99990 ,00000 ,814580 ,548,47900,2, ,208504166,3,5,11,Montgomery County Unincorporated Area,1461,1461,293804671,0,0,0,0,0,0,10,1058,83842413,1377,1377,276731708,0,0,0,0,0,0,6,901,69373017,24|457000,2013,south
2013,24,549000,33,    ,99990 ,00000 ,627607 ,548,47900,2, ,20774,3,5,12,Prince Georges County Unincorporated Area,1155,1155,232521509,0,0,0,0,0,0,0,0,0,1155,1155,232521509,0,0,0,0,0,0,0,0,0,24|549000,2013,south
2013,24,589000,31,0850,67675 ,00000 ,61209 ,548,47900, ,1,208502364,3,5,12,Rockville,13,13,3683500,0,0,0,0,0,0,2,680,102737700,13,13,3683500,0,0,0,0,0,0,2,680,102737700,24|589000,2013,south
2013,51,1000,510,0025,01000 ,00000 ,139966 ,548,47900, ,1,22313,3,5,12,Alexandria,218,218,44340100,0,0,0,0,0,0,18,1630,164534860,218,218,44340100,0,0,0,0,0,0,18,1630,164534860,51|1000,2013,south
2013,51,23000,600,0460,26496 ,00000 ,22565 ,548,47900, , ,22030,3,5,12,Fairfax,55,55,8098160,0,0,0,0,0,0,0,0,0,55,55,8098160,0,0,0,0,0,0,0,0,0,51|23000,2013,south
2013,51,25000,610,0470,27200 ,00000 ,12332 ,548,47900, , ,22046,3,5,12,Falls Church,16,16,5769000,0,0,0,0,0,0,0,0,0,16,16,5769000,0,0,0,0,0,0,0,0,0,51|25000,2013,south
2013,51,29000,630,0505,29744 ,00000 ,24286 ,548,47900, , ,22404,3,5,12,Fredericksburg,52,52,13512056,0,0,0,0,0,0,0,0,0,52,52,13512056,0,0,0,0,0,0,0,0,0,51|29000,2013,south
2013,51,43000,683,0780,48952 ,00000 ,37821 ,548,47900, , ,20108,3,5,0,Manassas,118,118,16630659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51|43000,2013,south
2013,51,45000,685,0785,48968 ,00000 ,14273 ,548,47900, , ,22111,3,5,9,Manassas Park,11,11,2050000,0,0,0,0,0,0,0,0,0,7,7,1050000,0,0,0,0,0,0,0,0,0,51|45000,2013,south
2013,51,109000,13,    ,99990 ,00000 ,207627 ,548,47900, ,1,22201,3,5,12,Arlington County,204,204,62858625,0,0,0,0,0,0,7,730,78187390,204,204,62858625,0,0,0,0,0,0,7,730,78187390,51|109000,2013,south
2013,51,205000,43,    ,99990 ,00000 ,9260 ,548,47900, , ,22611,3,5,12,Clarke County,28,28,6784000,0,0,0,0,0,0,0,0,0,28,28,6784000,0,0,0,0,0,0,0,0,0,51|205000,2013,south
2013,51,233000,47,    ,99990 ,00000 ,30310 ,999,99999, , ,22701,3,5,12,Culpeper County,192,192,42711190,0,0,0,0,0,0,0,0,0,192,192,42711190,0,0,0,0,0,0,0,0,0,51|233000,2013,south
2013,51,257000,153,2190,23760 ,00000 ,4961 ,548,47900, , ,22026,3,5,12,Dumfries town,3,3,330000,0,0,0,0,0,0,0,0,0,3,3,330000,0,0,0,0,0,0,0,0,0,51|257000,2013,south
2013,51,271000,59,    ,99990 ,00000 ,1042465 ,548,47900,2, ,220355504,3,5,10,Fairfax County Unincorporated Area,713,713,143358947,0,0,0,0,0,0,14,313,22522752,591,591,119290759,0,0,0,0,0,0,12,166,11976376,51|271000,2013,south
2013,51,277000,61,    ,99990 ,00000 ,54777 ,548,47900,2, ,20186,3,5,12,Fauquier County Unincorporated Area,260,260,66494998,0,0,0,0,0,0,0,0,0,260,260,66494998,0,0,0,0,0,0,0,0,0,51|277000,2013,south
2013,51,345000,59,0615,36648 ,00000 ,23292 ,548,47900, , ,22070,3,5,12,Herndon town,9,9,1918000,0,0,0,0,0,0,0,0,0,9,9,1918000,0,0,0,0,0,0,0,0,0,51|345000,2013,south
2013,51,403000,107,    ,99990 ,00000 ,258557 ,548,47900, , ,20177,3,5,12,Loudoun County,3545,3545,638208117,0,0,0,0,0,0,41,1339,76914214,3545,3545,638208117,0,0,0,0,0,0,41,1339,76914214,51|403000,2013,south
2013,51,513000,153,    ,99990 ,00000 ,393845 ,548,47900,2, ,22192,3,5,12,Prince William County Unincorporated Area,1465,1465,256573668,0,0,0,0,0,0,50,808,70660908,1465,1465,256573668,0,0,0,0,0,0,50,808,70660908,51|513000,2013,south
2013,51,523000,157,    ,99990 ,00000 ,7238 ,999,99999, , ,227470222,3,5,12,Rappahannock County,32,32,8955922,0,0,0,0,0,0,0,0,0,32,32,8955922,0,0,0,0,0,0,0,0,0,51|523000,2013,south
2013,51,575000,177,    ,99990 ,00000 ,122397 ,548,47900, , ,22553,3,5,0,Spotsylvania County,362,362,92657971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51|575000,2013,south
2013,51,583000,179,    ,99990 ,00000 ,128961 ,548,47900, , ,22554,3,5,12,Stafford County,1043,1043,220017464,0,0,0,0,0,0,0,0,0,1043,1043,220017464,0,0,0,0,0,0,0,0,0,51|583000,2013,south
2013,51,635000,187,    ,99990 ,00000 ,23135 ,548,47900, , ,22630,3,5,12,Warren County,85,85,16887045,0,0,0,0,0,0,0,0,0,85,85,16887045,0,0,0,0,0,0,0,0,0,51|635000,2013,south
2013,51,637000,61,1295,83136 ,00000 ,9611 ,548,47900, , ,201880341,3,5,9,Warrenton town,6,6,980311,1,2,175427,0,0,0,0,0,0,3,3,430000,1,2,175427,0,0,0,0,0,0,51|637000,2013,south
2013,54,55000,37,0165,08932 ,00000 ,1045 ,548,47900, , ,25425,3,5,12,Bolivar town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54|55000,2013,south
2013,54,99000,37,0285,14610 ,00000 ,5259 ,548,47900, , ,25414,3,5,12,Charles Town,76,76,14979000,0,0,0,0,0,0,0,0,0,76,76,14979000,0,0,0,0,0,0,0,0,0,54|99000,2013,south
2013,54,117000,37,0350,18040 ,00000 ,4440 ,548,47900, , ,25438,3,5,12,Corporation of Ranson town,65,65,14227225,0,0,0,0,0,0,0,0,0,65,65,14227225,0,0,0,0,0,0,0,0,0,54|117000,2013,south
2013,54,213000,37,0680,35284 ,00000 ,286 ,548,47900, , ,254250217,3,5,12,Harpers Ferry town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54|213000,2013,south
2013,54,247000,37,    ,99990 ,00000 ,40734 ,548,47900, , ,25414,3,5,12,Jefferson County Unincorporated Area,89,89,27096313,3,6,1140000,0,0,0,0,0,0,89,89,27096313,3,6,1140000,0,0,0,0,0,0,54|247000,2013,south
2013,54,473000,37,1445,73468 ,00000 ,1734 ,548,47900, , ,254430248,3,5,12,Shepherdstown town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54|473000,2013,south
2013,25,1000,23,    ,  ,00170 ,15985,148,14460, , ,2351,1,1,12,Abington town,14,14,3114472,2,4,400000,0,0,0,0,0,0,14,14,3114472,2,4,400000,0,0,0,0,0,0,25|1000,2013,northeast
